এইতো আমি রাস্তায়!	দুঃখিত।
পাশ দিয়ে হেঁটে যাচ্ছিলাম। 	আপনি কি আপনার আগের রূপে ফেরত যেতে চান?
 ডাক্তার সাহেব! একবার পরে দেখবে নাকি? 	কেমন লাগছে তোমার? -
দারুণ। আপনি ওনাকে চেনেন নাকি?	 ডাক্তার সাহেব, আমাকে একটু সময় দেয়া যাবে?
আমি সেহ-হিকে কতটা ভালোবাসতাম, আপনি এখন জানেন, তাই না?	 কিন্তু আমার এখনো বুঝে আসছে না।
ও কীভাবে এমন কাজ করতে পারলো?	 আমি নাকি ওকে অপছন্দ করতে পারি... ও কীভাবে নিজের জন্মগত চেহারার পরিবর্তন করতে পারলো? 
নিশ্চয়ই আপনাকে অনেক ভালোবাসে। 	কিন্তু তবুও, আমি এর কোনো উত্তর খুঁজে পাচ্ছি না। 
ডাক্তার সাহেব, আপনি জানেন সেহ-হি কত সুন্দর ছিলো। 	আর কত লাবণ্যময়ী। 
আপনি নিশ্চয়ই ওর আসল চেহারা দেখেছেন। 	অবশ্যই দেখেছি। আর তাই... আমি ওনাকে ভয়ংকর একটা সার্জারি দেখাই,যাতে নিজের মনোভাব পরিবর্তন করে।
 আপনার আরো চেষ্টা করা দরকার ছিলো। 	আমি দুঃখিত। 
আপনি ভেবেছেন ক্ষমা চাইলে এখন সবকিছু ঠিক হয়ে যাবে এটাই কি আপনার মনে হচ্ছে?	 আপনি কি এর জন্য আমাকে দোষারোপ করতে চাচ্ছেন? 
আপনি আমাকে কেন দোষ দিচ্ছেন?	 এই জন্য যে আমি টাকার কারণে এসব করেছি?
আমি যেটা বুঝাতে চাচ্ছি আপনি কীভাবে এত সহজে একজন মানুষের চেহারা কেটে ফেলেন? 	কেটে ফেলি মানে? 
মুখ সামলে কথা বলুন! 	ওনার নিজের ইচ্ছায় এসব করেছে, দোষ দিতে হলে ওনাকে দিন। 
কী বললি, বেজন্মার বাচ্চা?		কীভাবে তুই একজন মানুষের চেহারা কেটে ফেলতে পারিস? 
হাসপাতাল গুলোকে কি তোরা কসাই খানা বানিয়ে ফেললি নাকি? 	আমার সেহ-হিকে কি তোর কাছে গরু ছাগল মনে হয়েছে? 
নিজেকে কী মনে করিস?	 আমার ঘুষি খেয়ে একটু  সার্জারি করাতে চাস?
মার আমাকে! মার না! কুত্তার বাচ্চা।  	শালা কুত্তার বাচ্চা! আমি একজন ডাক্তার! 
টাকার জন্য এই পেশা বেছে নিইনি! 	মুখ সামলে কথা বলবি, বানচোত! আমি তোর মুখটা এমন ভাবে সাইজ করতে পারি যে কেউ চিনতেও পারবে না। 
দেখতে চাস  কাটাকাটি করা আসলে কী? 	শালা মাদারচোদ।  ডাক্তার সাহেব, ডাক্তার সাহেব। 
প্লিজ, থামুন, ডাক্তার সাহেব। 	বলুন আমি কী করতে পারি। 
কী করতে পারি আমি বলুন না জি-উ! জি-উ! জি-উ!	ভেবেছিলাম আপনাকে  জানানো উচিত। 
ওনার সার্জারির  একমাস হয়ে গেছে। 	 হয়তো এখনও ঘা শুঁকাচ্ছে। 
জি-উ আপনাকে  অনেক ভালোবাসেন। 	পাঁচ মাসের আগেই উনি আপনার সামনে  এক ভিন্ন চেহারা নিয়ে উপস্থিত হবেন ওনার জন্যঅপেক্ষা করুন। 
আপনি তো  পানির ছবি তুলছেন। 	আমাকে ভয় করে না আপনার না, করে না। 
